category,type,part_number,title,price,upc,weight,length,width,height,primary_site,manufacturer
Part,Automation,41400-0006,PMP HSG GRY SHURFLO 132017,11.3,22315304161,0.14,3.25,3.25,1.25,W,Pentair
Part,Automation,41400-0007,BRCKT W/MNTNG KIT SHURFLO 241713,16.3,22315304178,N/A,N/A,N/A,N/A,W,Pentair
Part,Automation,41400-0009,HRDWR KIT MTR MOUNT ,1.37,22315304208,N/A,N/A,N/A,N/A,E,Pentair
Part,Automation,41400-0014,OVERLAY (SR-4000) ,31.91,22315304246,N/A,N/A,N/A,N/A,E,Pentair
Part,Automation,41400-0026,PMP TUBE 1.5cc SHURFLO 233034,9.92,22315304345,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,41400-0027,PMP TUBE 2cc SHURFLO 233035,9.92,22315304352,0.01,8,1,1,W,Pentair
Part,Automation,41400-0028,PMP TUBE 1CC SHURFLO 233033,3.66,22315306585,0.04,8,0.75,0.75,W,Pentair
Part,Automation,41401-0014,OVERLAY (SR-6000) ,32.99,22315304253,N/A,N/A,N/A,N/A,W,Pentair
Part,Automation,4231033,MOTOR CVA-24 11033-M (REV A),79.3,788379646288,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,4PAIR,CABLE 8 CONDUCTOR 22 AWG ,0.53,788379652463,1,N/A,N/A,N/A,w,Pentair
Part,Automation,51016200,ORING 2-151 BUNA N 70SH ,1.35,788379693893,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520001,ADPT 6COND 9PAIR ,15.74,788379644413,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520002,MODULE FOR SERIAL PORT ,277.75,788379644420,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520005,LATCH LC ,11.16,788379684518,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520006,PANEL DEAD LX ENCL ,35.88,788379684525,1,N/A,N/A,N/A,W,Pentair
Part,Automation,520008,"CONN SPLICE UY, 100 QTY ",27.27,788379644437,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520010Z,KIT SWITCH RPLCMNT ,30.34,788379832452,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520062,"CNTRL PNL I5, I7, I9+3 LESS CIRCUIT BOARDS",36.95,788379712396,1,N/A,N/A,N/A,W,Pentair
Part,Automation,520077Z,PCB I10+3D PERS RPLC ,"1,067.30",788379832469,0.536,11,6.5,2.75,W,Pentair
Part,Automation,520078Z,PCB I9+3S PERS RPLC ,"1,067.30",788379832476,3,12,7,5,W,Pentair
Part,Automation,520079Z,PCB I10X PERS RPLC ,779.95,788379832483,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520080Z,PCB I5X PERS RPLC ,184.7,788379832490,0.75,12,7,3,W,Pentair
Part,Automation,520106,RELAY ASY INTLTCH ,39.96,788379644550,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520108,TERMINAL SCREW 4 WIRE ,7.87,788379644567,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520119Z,DEADFRONT PANEL INTLTCH RPLCMNT,25.07,788379832506,0.05,N/A,N/A,N/A,W,Pentair
Part,Automation,520124,LBL SET EZ REM 10 QTY ,33.49,788379692889,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520151Z,BRKT MNTG LC & PC RPLC ,37.2,788379849467,4,11,6.5,2.75,W,Pentair
Part,Automation,520173,LBL SET IS4 10 QTY ,15.98,788379644659,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520191,XFMR MOBI ,15.98,788379684884,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520198,RLY ASY 2SPD INTLTCH ,77.2,788379644673,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520199,CABLE 4COND 22AWG 1000' WHT,197.81,788379712426,13,12,12,12,w,Pentair
Part,Automation,520217,ANTENNA MOBLTCH TRANSCVR VIRTUAL CABLE TRANSCVR,23.97,788379684877,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520241,ANTENNA RMOTE EZ100 3400 ,31.67,788379644680,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520244,ENCLOSURE RCVR RF ,33.46,788379644710,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520245,KIT REMOTE RETRO EZ100 ENCL & CABLE ONLY NO PCB,168.28,788379644727,2,N/A,N/A,N/A,w,Pentair
Part,Automation,520246,CABLE REMOTE EZ100 ,131.65,788379644734,2,N/A,N/A,N/A,w,Pentair
Part,Automation,520247,CABLE REMOTE EZ3400 ,73.92,788379644741,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520272,SENSOR TMP IT/ET/ST 10K OHM THERMISTOR 20FT,28.22,788379654269,0.5,16,12,9,w,Pentair
Part,Automation,520273,COVER PLATE ICP INTLTCH ,23.75,788379712471,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520276,ICP MOUNTING SHEAVES ,7.91,788379712488,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520277,ICP MOUNTING HRDWR ,7.47,788379712495,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520280,LATCHES AK2100 CNTL RPLC ,70.41,,2,6,6,6,w,Pentair
Part,Automation,520281,BASE BREAKER INTLTCH ,68.01,788379712501,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520283,LABEL OCP INTLTCH 10/SET ,55.95,788379712518,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520285,VALVE MODULE INTLTCH ,128.67,788379644802,0.2,4,3,3,w,Pentair
Part,Automation,520287,PCB UOC RPLCMNT INTLTCH ,490.95,788379684723,0.67,12,7,3,w,Pentair
Part,Automation,520296Z,PCB I5S PERS RPLC ,184.7,788379832513,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520302,CNTRL PNL I5X I10X NO PC LESS CIRCUIT BOARDS,41.98,788379712525,0.05,N/A,N/A,N/A,W,Pentair
Part,Automation,520303,CNTRL PNL I10+3D NO PCBS LESS CIRCUIT BOARDS,41.98,788379686932,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520304,CNTRL PNL 15S 19+3S LESS CIRCUIT BOARDS,39.96,788379686949,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520335,KIT MUD BOX ,19.78,788379685447,0.7,6.5,9.5,3.5,w,Pentair
Part,Automation,520341,PCB VC TRANSCVR RPLCMNT ,356.35,788379684853,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520342,TRANSFORMER ASSY INTLTCH ,201.87,788379684891,7,12,11,11,w,Pentair
Part,Automation,520343,KIT MOUNTING IS10 ,23.39,788379712532,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520344,LABEL SET IS10 ,59.95,788379712549,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520354,"KIT FACEPLT FLAT IS10 BISQUE, TAN, GRAY, BLACK",20.92,788379712556,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520355,"KIT FACEPLT SKIRTED IS10 BISQUE, TAN, GRAY, BLACK",30.91,788379712563,1,N/A,N/A,N/A,w,Pentair
Part,Automation,520389,KIT SCREW VLV LID ,14.51,788379712570,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,520396,PANEL SVC INTLTCH ,321.19,788379712587,2,11,9.5,5,w,Pentair
Part,Automation,520400,LAPTOP TRNR INTLTCH ,745.18,788379690083,5,N/A,N/A,N/A,W,Pentair
Part,Automation,520403,RLY KIT HTR DUAL ,74.14,788379689827,0.32,8,8,4,w,Pentair
Part,Automation,520405,DOOR ASSY IT RPLCMNT ,75.43,788379688776,8,N/A,N/A,N/A,W,Pentair
Part,Automation,520406,RLY DIMMER IT ,177.42,788379690052,1,N/A,N/A,N/A,W,Pentair
Part,Automation,520426Z,KIT IS10 MNTG BRKT ,9.8,788379727321,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520443Z,KIT IS10 SKIRT RING ,14.53,788379727345,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520479Z,DEADFRONT PANEL EASYTCH RPLCMNT,25.07,788379832537,N/A,N/A,N/A,N/A,W,Pentair
Part,Automation,520498,PANEL TOUCH ACC ITC35 ,"2,112.51",788379712631,5,22.5,20.5,5.75,W,Pentair
Part,Automation,520596,STYLUS TABLET RPLCMNT ,25.44,788379712747,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520623,LATCH ASY INTLTCH LC ,25.06,788379723743,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520641,INTELLICOMM ,409.14,788379723606,3.44,11.25,8.25,6.25,E,Pentair
Part,Automation,520645Z,KIT PCB ASY SUNTOUCH ,139.77,788379832575,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520651,DEADFRONT RPLCMNT EZTCH ,50.81,788379723774,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,520652,BACKPLT ASY ICP EZTCH ,11.84,788379723781,0.01,N/A,N/A,N/A,W,Pentair
