Part/WG,Category,part_number,title,price,upc,weight,length,width,height,Primary Site,,
Whole Good,Pumps,070118,PWREND INTELLIFLO VRBLE SPD, 857.11 ,788379852207,40.00,28.00,12.50,15.00,E,,
Whole Good,Pumps,070119,PWREND INTELLIFLO I1 , 856.70 ,788379858735,40.00,28.00,12.50,15.00,E,,
Whole Good,Pumps,070209,PWREND INTELLIPRO VRBLE SPD, 857.11 ,788379852214,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,071320S,MTR PKG W/SWTCH SQFL 1.5 HPF 2A 60HZ 2SP ALMD 23, 216.51 ,788379746728,36.50,22.50,9.250,11.50,E,,
Whole Good,Pumps,071321S,MTR PKG W/SWTCH SQFL 2HPF 2.5A 60HZ 2SP ALMD, 270.66 ,788379746735,36.50,22.50,9.250,11.50,E,,
Whole Good,Pumps,071361S,MTR PKG 15HP 3PH 208-220/440V C PUMP," 2,016.62 ",788379804930,148.0,17.00,22.00,15.00,E,,
Whole Good,Pumps,071362S,MTR PKG 20HP 3PH 208-220/440V C PUMP," 3,316.26 ",788379804961,157.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,071363S,MTR PKG 10HP 3PH 208-220/440V C PUMP," 1,721.43 ",788379804909,132.0,23.00,17.00,15.00,E,,
Whole Good,Pumps,071364S,MTR PKG 5HP 3PH 208-220/440V C PUMP," 1,092.93 ",788379804848,91.00,23.00,17.00,15.00,E,,
Whole Good,Pumps,071365s,MTR PKG 7.5HP 3PH 208-220/440V C PUMP," 1,196.76 ",788379804855,90.00,23.00,15.00,17.00,E,,
Whole Good,Pumps,071366S,MTR PKG 5HP 1PH 230V C PUMP," 1,360.80 ",788379804862,100.0,22.00,17.00,22.00,E,,
Whole Good,Pumps,072737S,MTR PKG 5HP 3PH 380/415V 50Hz C PUMP," 1,092.92 ",788379804985,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,072739S,MTR PKG 7.5HP 3PH 380/415V 50Hz C PUMP," 1,196.76 ",788379804992,100.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,072740S,MTR PKG 10HP 3PH 380/415V 50Hz C PUMP, 678.09 ,788379805005,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,072742S,MTR PKG 15HP 1PH 380/415V 50Hz C PUMP," 1,920.60 ",788379805012,110.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,072744S,MTR PKG 20HP 3PH 380/415V 50Hz C PUMP," 3,316.26 ",788379805029,160.0,23.00,17.00,15.00,E,,
Whole Good,Pumps,073260,MTR SUBASY CM 50 ," 2,244.56 ",788379720100,105.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,073261,MOTOR SUBASY CMK 150 ," 3,504.25 ",788379720117,158.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,073262,MOTOR SUBASY CMK 50 ," 2,521.05 ",788379701147,110.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,073263,MOTOR SUBASY CMK 75 ," 2,588.13 ",788379700973,100.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,073264,MTR SUBASY CH 50 ," 2,687.29 ",788379720124,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,073265,MOTOR SUBASY CHK 50 ," 2,585.70 ",788379664909,100.0,17.00,21.00,15.00,E,,
Whole Good,Pumps,073266,MOTOR SUBASY CHK 75 ," 2,654.59 ",788379664916,100.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,073267,MTR SUBASY CHK 100 ," 2,816.81 ",788379720131,117.0,22.00,17.00,15.00,E,,
Whole Good,Pumps,073268,MOTOR SUBASY CHK 150 ," 3,661.19 ",788379664923,158.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,073269,MOTOR SUBASY CHK 200 ," 5,225.55 ",788379664930,250.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,075136,MTR SUBASY WFE 2 , 347.40 ,788379665012,36.00,N/A,N/A,N/A,E,,
Whole Good,Pumps,075137,MTR SUBASY WFE 3 WFE 24 , 350.94 ,788379665029,35.04,19.25,14.25,15.25,E,,
Whole Good,Pumps,075138,MTR SUBASY WFE 4 WFE 26 , 373.60 ,788379665036,38.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075139,MTR SUBASY WFE 6 WFE 28 , 437.71 ,788379665043,31.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075140,MTR SUBASY WFE 8 30 , 503.38 ,788379665050,40.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075141,MTR SUBASY WFE 12 , 624.84 ,788379665067,32.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075142,MTR SUBASY W/SWTCH WFEDS4 WFEDS 26, 461.58 ,788379665074,34.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075143,MTR SUBASY W/SWTCH WFEDS6 WFEDS 28, 539.32 ,788379665081,36.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075144,MTR SUBASY W/SWTCH WFEDS8 WFEDS 30, 656.13 ,788379665098,40.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075145,MTR SUBASY W/SWTCH WFDS3 WFDS24, 442.70 ,788379789398,40.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075251,MTR SUBASY WF2 WF23 , 327.40 ,788379665104,32.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075252,MTR SUBASY WF3 STD , 343.76 ,788379665111,30.40,19.25,14.25,15.25,E,,
Whole Good,Pumps,075253,MTR SUBASY WF4 STD , 363.09 ,788379665128,16.42,19.25,14.25,15.25,E,,
Whole Good,Pumps,075254,MTR SUBASY WF6 STD , 430.87 ,788379665135,42.78,19.25,14.25,15.25,E,,
Whole Good,Pumps,075255,MTR SUBASY WF8 STD , 495.20 ,788379665142,42.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075256,MTR SUBASY WF12 STD , 620.65 ,788379665159,45.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075452,FLUID END WFE 3 , 273.85 ,788379665234,36.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075453,FLUID END WFE 4 , 268.70 ,788379665241,16.04,19.25,14.25,15.25,E,,
Whole Good,Pumps,075454,FLUID END WFE 6 , 271.22 ,788379665258,48.00,19.25,14.25,15.25,E,,
Whole Good,Pumps,075455,FLUID END WFE 8 , 268.87 ,788379665265,16.04,19.25,14.25,15.25,E,,
Whole Good,Pumps,075456,FLUID END WFE 12 , 267.99 ,788379665272,16.30,19.25,14.25,15.25,E,,
Whole Good,White Goods,08417-0000,INLT FLOOR 292 WHT , 12.31 ,788379703615,0.550,4.000,4.000,3.000,R,,
Whole Good,White Goods,08417-0100,#292 GRY FLOOR INLT , 15.53 ,788379703943,0.750,6.000,6.000,4.000,R,,
Whole Good,White Goods,08417-0200,#292 FLOOR INLT BLK , 12.69 ,788379703950,0.575,0.500,0.400,0.250,R,,
Whole Good,White Goods,08428-0000,"INLT EYEBALL 1.25"" WHT ", 12.69 ,788379703486,0.010,N/A,N/A,N/A,R,,
Whole Good,White Goods,08428-0100,"INLET EYEBALL 1.25"" GRY ", 12.69 ,788379703516,0.010,N/A,N/A,N/A,R,,
Whole Good,White Goods,08429-0000,"INLET EYEBALL 1.5"" WHT ", 14.34 ,788379703530,0.657,21.50,16.00,10.00,R,,
Whole Good,White Goods,08429-0100,"INLET EYEBALL 1.5"" GRY ", 14.04 ,788379703547,22.00,21.50,16.00,10.00,R,,
Whole Good,White Goods,08434-0000,FTG ASY 150 INLET WHT , 3.71 ,788379703646,0.160,8.500,6.000,2.000,R,,
Whole Good,White Goods,08434-0100,INSERT ASY INLET FTG GRY , 4.05 ,788379703653,0.100,4.000,5.000,2.000,R,,
Whole Good,White Goods,08650-1403,"U-3 SKMR ASY WHT LID 2""NPT W/1.5""NPT RDCR", 54.80 ,022315127104,8.000,15.50,10.50,20.00,R,,
Whole Good,White Goods,08650-1404,"U-3 SKMR ASY WHT LID 2""SLP W/1.5""SLP RDCR", 54.80 ,022315127128,8.000,15.50,10.50,20.00,R,,
Whole Good,White Goods,08650-2403,"U-3 SKMR ASY TAN LID 2""NPT W/1.5""NPT RDCR", 54.80 ,022315127142,8.000,15.50,10.50,19.75,R,,
Whole Good,White Goods,08650-2404,"U-3 SKMR ASY TAN LID 2""SLP W/1.5""SLP RDCR", 54.80 ,022315127166,9.000,15.50,10.50,10.50,R,,
Whole Good,White Goods,08650-3403,U-3 SKMR GRY NPT NSF ASY , 54.80 ,022315217829,8.060,10.50,15.25,19.75,R,,
Whole Good,White Goods,08650-3403E,U-3 SKMR GRY W/TAN AY , 54.80 ,022315301641,8.000,20.25,15.50,15.50,R,,
Whole Good,White Goods,08650-3404,U-3 SKMR GRY SLP NSF ASY , 54.80 ,022315217836,8.000,15.50,10.50,17.75,R,,
