Feed Processing Summary:
	Number of records processed		916
	Number of records successful		462

original-record-number	sku	error-code	error-type	error-message
157	VAL_V20-809-L	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
157	VAL_V20-809-L	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
159	VAL_V40-614-LE	8560	Error	SKU VAL_V40-614-LE, Missing Attributes product_type. SKU VAL_V40-614-LE does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
159	VAL_V40-614-LE	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
159	VAL_V40-614-LE	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
160	VAL_V38-161S	8058	Error	The following attributes are missing for SKU: [VAL_V38-161S]: [manufacturer].For more details, see http://sellercentral.amazon.com/gp/errorcode/8058
160	VAL_V38-161S	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
161	VAL_92500000	8560	Error	SKU VAL_92500000, Missing Attributes product_type. SKU VAL_92500000 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
161	VAL_92500000	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
161	VAL_92500000	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
166	VAL_V40-475-T3	8560	Error	SKU VAL_V40-475-T3, Missing Attributes product_type. SKU VAL_V40-475-T3 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
166	VAL_V40-475-T3	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
166	VAL_V40-475-T3	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
