type,category,part_number,title,price,upc,weight,length,width,height,location,manufacturer
wholegood,White Goods,540024,FTG HYDRSTRM 3/4 50PK GRY,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540028,"FTG HYDRSTRM 1"" 50PK WHT",1.4,7.88E+11,0.1,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,540029,"FTG HYDRSTRM 1"" 50PK BLK",1.4,7.88E+11,0.5,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,540030,"FTG HYDRSTRM 1"" 50PK DK GRY",1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540031,"FTG HYDRSTRM 1"" 50PK GRY",1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540035,"FTG 1.5 INSDR HYD 1/2"" 50PK WHT",1.4,7.88E+11,0.11,2,2,1,R,Pentair
wholegood,White Goods,540036,"FTG 1.5 INSDR HYD 1/2"" 50PK BLK",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540037,"FTG 1.5 INSDR HYD 1/2"" 50PK DK GRY",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540038,"FTG 1.5 INSDR HYD 1/2"" 50PK GRY",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540042,"FTG 1.5 INSDR HYD 3/4"" 50PK WHT",1.4,7.88E+11,0.1,2,2,1,R,Pentair
wholegood,White Goods,540043,"FTG 1.5 INSDR HYD 3/4"" 50PK BLK",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540044,"FTG 1.5 INSDR HYD 3/4"" 50PK DK GRY",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540045,"FTG 1.5 INSDR HYD 3/4"" 50PK GRY",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540049,"FTG 1.5 INSDR HYD 1"" 50PK WHT",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540050,"FTG 1.5 INSDR HYD 1"" 50PK BLK",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540051,"FTG 1.5 INSDR HYD 1"" 50PK DK GRY",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540052,"FTG 1.5 INSDR HYD 1"" 50PK GRY",1.4,7.88E+11,0.11,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540056,INSERT GRT 1.5 MIP 50PK WHT,0.83,7.88E+11,0.06,16,14.5,8.5,R,Pentair
wholegood,White Goods,540057,INSERT GRT 1.5 MIP  50PK BLK,0.83,7.88E+11,0.03,0.08,0.08,0.08,R,Pentair
wholegood,White Goods,540063,"SCKT DCK DRN/GTR 2""X4"" 50PK WHT",3.69,7.88E+11,0.2,3.6,2.9,3.9,R,Pentair
wholegood,White Goods,540064,"SCKT DCK DRN/GTR 2""X4"" 50PK BLK",3.69,7.88E+11,0.43,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540065,"SCKT DCK DRN/GTR 2""X4"" 50PK DK GRY",3.69,7.88E+11,0.43,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540066,"SCKT DCK DRN/GTR 2""X4"" 50PK GRY",3.69,7.88E+11,0.4,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,541203,"INLET 1"" DIR FTG WHT ",1.09,7.88E+11,0.12,2.5,2.5,2,E,Pentair
wholegood,White Goods,541206,FTG 1' INSIDER ,1.06,7.88E+11,0.1,2.5,2.5,2.25,E,Pentair
wholegood,White Goods,541228,"SLIP 1.5"" INLET W/SLT WHT",3.27,7.88E+11,0.1,2.25,2.5,2.5,E,Pentair
