part_number,title,base_price,cat_low_net_price,upc,uom,manufacturer,category
SP3025EEAZ,PUMP SUPERII 3HP CONS AZ RISER,$714.49 ,,6.10E+11,1,Hayward,wholegood
SP32202EE,2 HP TRISTAR FULL RATE 2 SPEED,$713.85 ,,6.10E+11,1,Hayward,wholegood
AQL-CHEM-UPG,"KIT-RETRO,CHEMISTRY,AQLCHEM,PROLOGIC PCBA",$698.63 ,,6.10E+11,1,Hayward,wholegood
HCC1000-ORP,"HCC 1000 ORP,CONTROLLER PACKAGE",$695.75 ,,6.10E+11,1,Hayward,wholegood
HCC1000-PH,"HCC 1000 PH,CONTROLLER PACKAGE",$695.75 ,,6.10E+11,1,Hayward,wholegood
SP3220X252,"PUMP-2 1/2 HP TRISTAR,MAXRATE,2 SPEED",$695.63 ,,6.10E+11,1,Hayward,wholegood
YS20300F,"3"" CPVC Y-STRAINER, FLG'D.",$692.62 ,,6.10E+11,1,Hayward,
SP4020X252 *,"PUMP-2 1/2 HP, NORTHSTAR, MAXRATE, 2SP",$692.44 ,,6.10E+11,1,Hayward,wholegood
RV2200T,"2"" CPVC RELIEF VLV THD VITO",$691.00 ,,6.10E+11,1,Hayward,
WC1600ES *,"6"" SPRING ASSISTED WAFER CHECK EPDM,PVC,316 SSTL",$689.61 ,,6.10E+11,1,Hayward,wholegood
TB1600FE,"6"" PVC TU SAFE BLOCK BALL  VALVE FLG W/EPDM",$689.52 ,,6.10E+11,1,Hayward,wholegood
SP3225X30,"PUMP-3 HP TRISTAR, MAXRATE",$688.42 ,,6.10E+11,1,Hayward,wholegood
S360T2,36 IN SAND FILTER -TOP MT W/VALVE-,$675.18 ,,6.10E+11,1,Hayward,wholegood
YS10400F,"4"" PVC Y-STRAINER, FLG'D.",$674.72 ,,6.10E+11,1,Hayward,
BYV11080A0EG000,"8"" BYV BFLY VLV PVC/PVC/EPDM GEAR",$673.62 ,,6.10E+11,1,Hayward,wholegood
DAB1040FEK,"4"" PVC MAN DIAPH VLV FLG EPDM",$669.71 ,,6.10E+11,1,Hayward,
SP3020X252AZ,PUMP SUPERII 2 1/2HP 2SP RISER-,$664.21 ,,6.10E+11,1,Hayward,wholegood
SP3025X30AZ,PUMP SUPERII 3HP W/RISER,$664.03 ,,6.10E+11,1,Hayward,wholegood
EM3BY113E,"3"" BY VLV PVC/PVC,EPDM W/EPM  3 ACT",$663.82 ,,6.10E+11,1,Hayward,
SP2602VSP,SUPER PUMP VS PUMP,$661.52 ,,6.10E+11,1,Hayward,wholegood
RC9742WC,"SHARKVAC-XL,W/CADDY,110/60",$652.63 ,,6.10E+11,1,Hayward,wholegood
C4030,425 SF SWIM CLEAR TOP MANIFOLD,$650.59 ,,6.10E+11,1,Hayward,
SP2600VSP,SUPER PUMP VS PUMP,$634.01 ,,6.10E+11,1,Hayward,wholegood
SP2302VSP,MAX-FLO VS PUMP,$633.29 ,,6.10E+11,1,Hayward,wholegood
ONCOM-POD,ONCOM WITH AQUA POD,$631.35 ,,6.10E+11,1,Hayward,wholegood
VR1000,VACUUM RELEASE SYSTEM,$628.71 ,,6.10E+11,1,Hayward,wholegood
VR1000NT *,"VACUUM RELEASE SYSTEM, NO TIMERS",$628.71 ,,6.10E+11,1,Hayward,wholegood
SP2302VSPND,MAX-FLO VS PUMP FOR AUTOMATION,$628.21 ,,6.10E+11,1,Hayward,wholegood
AQR3,AQUARITE 15K GAL CELL,$625.67 ,,6.10E+11,1,Hayward,wholegood
SPGBY8EXTL096,"96"" UNSUPPORT STEM EXT FOR 8"" BY W/LEVER",$625.34 ,,6.10E+11,1,Hayward,wholegood
RC9740WC,"SHARKVAC-XL,110/60",$620.50 ,,6.10E+11,1,Hayward,wholegood
TC1400FE,"4"" PVC TRUE UNION BALL CHECK VALVE FLG W/EPDM",$619.99 ,,6.10E+11,1,Hayward,
HPC-4-ACT-RC,"CONTROL-BASE,ECOMMAND,4 RLY,3VLV W/REMOTE,GVA-24",$613.71 ,,7.61E+11,1,Hayward,wholegood
SP32152EE,1.5 HP TRISTAR FULL RATE 2 SPEED,$612.53 ,,6.10E+11,1,Hayward,
DE6020,60 SQ FT PRO-GRID DE FILTER,$612.27 ,,6.10E+11,1,Hayward,wholegood
SP3215X202,"PUMP-2 HP TRISTAR,MAXRATE,2 SPEED",$595.39 ,,6.10E+11,1,Hayward,wholegood
SP4015X202 *,"PUMP-2 HP, NORTHSTAR, MAXRATE,2SP",$595.11 ,,6.10E+11,1,Hayward,wholegood
ONCOM-ACT-RC,"CNTRL-BASE,ONCOM,W/RMT,GVA-24",$593.65 ,,7.61E+11,1,Hayward,wholegood
SP3220EE,2 HP TRISTAR FULL RATE,$593.47 ,,6.10E+11,1,Hayward,wholegood
